#key	name	year	genre	developer	players
Akagawa Jirou - Yasoukyoku (Japan)	Akagawa Jiro : Yasoukyoku	1998	Adventure	Victor Entertainment	1
Akagawa Jirou - Yasoukyoku 2 (Japan)	Akagawa Jiro : Yasoukyoku 2	2001	Adventure	Office Create	1
Akazu no Ma (Japan)	Akazu no Ma	1997	Adventure	Visit	1
Akuji the Heartless (USA)	Akuji the Heartless	1998	Action / Adventure/Action	Crystal Dynamics	1
Akumajou Dracula X - Gekka no Yasoukyoku (Japan)	Castlevania : Symphony of the Night	1997	Role Playing Game/Action RPG	KCET	1
Albaria no Otome - Uruwashi no Seikishitachi (Japan)	Albaria no Otome : Uruwashi no Seikishitachi	1998	Simulation/Role Playing Game	Nippon Computer Systems (NCS)	1
Alex Ferguson's Player Manager 2001 (Europe)	Alex Ferguson's Player Manager 2001	2000	Simulation/Sports / Football (Soccer)/Sports	Anco	1
Alex Ferguson's Player Manager 2002 (Europe)	Alex Ferguson's Player Manager 2002	2002	Build And Management/Sports / Football (Soccer)/Sports/Simulation	Anco	1
Alexandra Ledermann 2 - Equitation Competition (France)	Equestrian Showcase	2003	Horse racing/Sports/Platform/Sports with animals	Tantalus Interactive	1-2
Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)	Alexi Lalas International Soccer	1999	Sports / Football (Soccer)/Sports	Z-Axis	1-2
Alfred Chicken (Europe) (En,Fr,De,Es,It)	Alfred Chicken	2002	Platform	Mobius Entertainment	1
Alice in Cyberland (Japan)	Alice in Cyberland	1996	Adventure	Glams	1
Alien Resurrection (USA)	Alien Resurrection	2000	Shooter / FPV/Shooter	Argonaut Software	1
Alien Trilogy (USA)	Alien Trilogy	1996	Shooter / FPV/Shooter	Probe Entertainment	1
Alive (Japan) (Disc 1)	Alive	1998	Adventure / Interactive Movie/Adventure	General Entertainment	1
All Music Dance! (Italy)	Dance Europe	2003	Dancing/Music and Dancing	Bigben Interactive	1-2
All Star Action (Europe) (Disc 1)	All Star Action	2003	Sports / Multisports/Sports	Mere Mortals	1-4
All Star Boxing (Europe)	Boxing	2001	Sports / Boxing/Fighting/Sports	Nekogumi	1-2
All Star Racing (USA)	All Star Racing	2002	Racing, Driving	Kung Fu	1
All Star Racing 2 (USA)	All Star Racing 2	2003	Racing, Driving	Kung Fu	1
All Star Soccer (Europe) (En,Fr,De,It)	All Star Soccer	1997	Sports / Football (Soccer)/Sports	Eidos Interactive	1-2
All Star Tennis '99 (Europe) (En,Fr,De,Es,It)	All Star Tennis '99	1998	Sports / Tennis/Sports	Smartdog	1-4
All Star Tennis (Europe)	Tennis	2001	Sports/Sports / Tennis/Sports	Nekogumi	1-4
All Star Tennis 2000 (Europe) (En,De,Es,It)	All Star Tennis 2000	2000	Sports / Tennis/Sports	Ubisoft	1-2
All Star Watersports (Europe)	All Star Watersports	2003	Sports / Multisports/Sports / Swimming/Sports	Phoenix Games	1-4
All-Star Baseball 97 featuring Frank Thomas (USA)	All-Star Baseball 97 featuring Frank Thomas	1997	Sports / Baseball/Sports	Iguana Entertainment	1-2
All-Star Mahjong - Karei naru Shoubushi kara no Chousen (Japan)	All-star Mahjong - Karei Naru Shoubushi Kara No Chousen	1997	Mahjong/Asiatic board game	Pony Canyon	1
All-Star Slammin' D-Ball (USA)	All-Star Slammin' D-Ball	2001	Sports / Dodgeball/Sports	Access	1-2
Alla Ricerca della Valle Incantata - Ritorno alla Grande Vallata (Italy)	The Land Before Time : Return to the Great Valley	2000	Platform/Racing, Driving	Realtime Associates	1-2
Allied General (USA)	Allied General	1996	Strategy	Ultimation	1-2
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan)	Alnam no Kiba : Juuzoku Juuni Shinto Densetsu	1996	Adventure		1
Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Disc 1)	Alnam no Tsubasa : Shoujin no Sora no Kanata e	1997	Japanese RPG/Role Playing Game		1
Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)	Alone in the Dark : One-Eyed Jack's Revenge	1996	Adventure / Survival Horror/Adventure	Infogrames	1
Alone in the Dark - One-Eyed Jack's Revenge (USA)	Alone in the Dark : One-Eyed Jack's Revenge	1996	Adventure / Survival Horror/Adventure	Infogrames	1
Alone in the Dark - The New Nightmare (USA) (Disc 1)	Alone in the Dark : The New Nightmare	2001	Adventure / Survival Horror/Adventure	Darkworks	1
Alone in the Dark 2 (Japan)	Alone in the Dark : One-Eyed Jack's Revenge	1996	Adventure / Survival Horror/Adventure	Infogrames	1
Alundra (USA)	Alundra	1997	Role Playing Game	Matrix Software	1
Alundra 2 - A New Legend Begins (USA)	Alundra 2 : A New Legend Begins	2000	Adventure/Role Playing Game	Matrix Software	1
Alundra 2 - Der Beginn einer neuen Legende (Germany)	Alundra 2 : A New Legend Begins	2000	Adventure/Role Playing Game	Matrix Software	1
Alundra 2 - Mashinka no Nazo (Japan)	Alundra 2 : A New Legend Begins	2000	Adventure/Role Playing Game	Matrix Software	1
Alundra 2 - Une Legende Est Nee (France)	Alundra 2 : A New Legend Begins	2000	Adventure/Role Playing Game	Matrix Software	1
Amazing Virtual Sea-Monkeys, The (USA) (En,Es)	The Amazing Virtual Sea-Monkeys	2002	Puzzle	Creatures Labs	1
America Oudan Ultra Quiz (Japan)	America Oudan Ultra Quiz	1994	Quiz/Simulation	Pegasus Japan	1-4
American Pool (USA)	American Pool	2003	Sports / Pool/Sports	DigiCube	1-2
Amerzone - Das Testament des Forschungsreisenden (Germany) (Disc 1)	Amerzone - The Explorer's Legacy	1999	Adventure	Microïds	1
Amerzone - El Legado del Explorador (Spain) (Disc 1)	Amerzone - The Explorer's Legacy	1999	Adventure	Microïds	1
Amerzone - Il Testamento dell'Esploratore (Italy) (Disc 1)	Amerzone - The Explorer's Legacy	1999	Adventure	Microïds	1
Amerzone - O Testamento do Explorador (Portugal) (Disc 1)	Amerzone - The Explorer's Legacy	1999	Adventure	Microïds	1
Amerzone - The Explorer's Legacy (Europe) (Disc 1)	Amerzone - The Explorer's Legacy	1999	Adventure	Microïds	1
Amerzone, L' (France) (Disc 1)	Amerzone - The Explorer's Legacy	1999	Adventure	Microïds	1
Anastasia (Europe) (En,Fr,De,Nl)	Anastasia	2001	Puzzle	The Code Monkeys	1
Ancient Roman - Power of Dark Side (Japan) (Disc 1)	Ancient Roman : Power of Dark Side	1998	Role Playing Game	Nihon Systems	1
Ancient Roman Extra (Japan) (Demo)	Ancient Roman : Power of Dark Side	1998	Role Playing Game	Nihon Systems	1
Andretti Racing (USA)	Andretti Racing	1996	Racing, Driving	Stormfront Studios	1-4
Angel Blade - Neo Tokyo Guardians (Japan)	Angel Blade : Neo Tokyo Guardians	1997	Role Playing Game	On Dimand	1
Angel Graffiti - Anata e no Profile (Japan)	Angel Graffiti : Anata e no Profile	1996	Adventure	Astrocade	1
Angelique - Tenkuu no Requiem (Japan)	Angelique : Tenkuu no Requiem	1999	Adventure/Role Playing Game	Koei	1
Angelique Duet (Japan)	Angelique Duet	1998	Adventure/Simulation	Koei	1
Angelique Special (Japan)	Angelique Special	1996	Strategy/Adventure	Koei	1
Angelique Special 2 (Japan)	Angelique Special 2	1997	Adventure	Koei	1
Animal Football (Europe) (En,Fr,De)	Animal Football	2003	Educational	The Code Monkeys	1
Animal Snap - Rescue Them 2 by 2 (Europe)	Animal Snap : Rescue Them 2 by 2	2003	Puzzle	UTV Ignition Entertainment	1
Animaniacs - Ten Pin Alley (USA)	Animaniacs : Ten Pin Alley	1998	Sports / Bowling/Sports	Saffire	1-6
Animetic Story Game 1 - Cardcaptor Sakura (Japan) (Disc 1)	Animetic Story Game 1 : Cardcaptor Sakura	1999	Adventure	Arika	1
Animorphs - Shattered Reality (USA)	Animorphs : Shattered Reality	2000		SingleTrac	1
Ankh - Tutankhamen no Nazo (Japan) (Disc 1)	Ankh : Tutankhamen no Nazo	1997	Adventure	Ibis	1
Anna Kournikova's Smash Court Tennis (Europe)	Anna Kournikova's Smash Court Tennis	1999	Sports / Tennis/Sports	Namco	1-4
Ano Ko Doko no Ko (Japan)	Ano Ko Doko No Ko	1998	Simulation	Success	1-4
Another Memories (Japan)	Another Memories	1998	Simulation/Adventure/Role Playing Game	Starlight Marry	1
Another Mind (Japan)	Another Mind	1998	Adventure	Square	1
Anstoss - Premier Manager (Germany)	Premier Manager 2000	2000	Sports / Football (Soccer)/Simulation/Sports	Infogrames	1
Ao no 6-gou - Antarctica (Japan) (Disc 1)	Ao no Rokugou : Antarctica	2000	Strategy/Adventure	Bandai Visual	1
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	Aoki Ohkami to Shirokimejika : Genchohishi	1998	Strategy	Koei	1
Aozora to Nakamatachi - Yume no Bouken Plus (Japan)	Aozora to Nakama-tachi : Yume no Bouken Plus	2003	Platform	MTO Co	1
Ape Escape (USA)	Ape Escape	1999	Platform	SCE Japan	1
Ape Escape - La Invasion de los Monos (Spain)	Ape Escape	1999	Platform	SCE Japan	1
Apocalypse (USA)	Apocalypse	1998	Shooter	Neversoft	1
Aqua GT (Europe) (En,Fr,De,Es,It,Nl)	Aqua GT	2001	Racing, Driving / Boat/Racing, Driving	EastPoint	1-2
Aqua Paradise (Japan)	Aqua Paradise: Boku no Suizokukan	2000	Strategy	Office Create	1
Aquanaut no Kyuujitsu (Japan)	Aquanaut's Holiday	1996	Simulation	Artdink	1
Aquanaut no Kyuujitsu - Memories of Summer 1996 (Japan)	Aquanaut no Kyuujitsu : Memories of Summer 1996	1996	Simulation	Artdink	1-2
Aquanaut no Kyuujitsu 2 (Japan)	Aquanaut no Kyuujitsu 2	1999	Adventure	Artdink	1
Aquanaut's Holiday (USA)	Aquanaut's Holiday	1996	Simulation	Artdink	1
Aquarian Age - Tokyo Wars (Japan)	Aquarian Age : Tokyo Wars	2000	Role Playing Game/Strategy	Onion Egg	1-2
Arc the Lad (Japan)	Arc the Lad Collection : Arc the Lad	2002	Role Playing Game	G-Craft	1
Arc the Lad - Monster Game (Japan) (Present-ban)	Arc the Lad Collection : Arc Arena Monster Tournament	2002	Role Playing Game	Arc Entertainment	1-2
Arc the Lad - Monster Game with Casino Game (Japan) (Disc 1) (Monster Game)	Arc the Lad Collection : Arc Arena Monster Tournament	2002	Role Playing Game	Arc Entertainment	1-2
Arc the Lad Collection - Arc Arena - Monster Tournament (USA)	Arc the Lad Collection : Arc Arena Monster Tournament	2002	Role Playing Game	Arc Entertainment	1-2
Arc the Lad Collection - Arc the Lad (USA)	Arc the Lad Collection : Arc the Lad	2002	Role Playing Game	G-Craft	1
Arc the Lad Collection - Arc the Lad II (USA)	Arc the Lad Collection : Arc the Lad II	2002	Role Playing Game	G-Craft	1
Arc the Lad Collection - Arc the Lad III (USA) (Disc 1)	Arc the Lad Collection : Arc the Lad III	2002	Role Playing Game	G-Craft	1
Arc the Lad Collection - The Making of Arc the Lad (USA)	Arc the Lad Collection	2002	Role Playing Game	Working Designs	1-2
Arc the Lad II (Japan)	Arc the Lad Collection : Arc the Lad II	2002	Role Playing Game	G-Craft	1
Arc the Lad II - Characters & World CG Movie Collection (Japan)	Arc the Lad Collection : Arc the Lad II	2002	Role Playing Game	G-Craft	1
Arc the Lad III (Japan) (Disc 1)	Arc the Lad Collection : Arc the Lad III	2002	Role Playing Game	G-Craft	1
Arcade Gears - ImageFight & XMultiply (Japan)	Arcade Gears : ImageFight & XMultiply	1998	Compilation/Shoot'em Up	Xing Entertainment	1-2
Arcade Gears - Pu-Li-Ru-La (Japan)	Pu-Li-Ru-La - Arcade Gears	1997	Beat'em Up	Taito	1-2
Arcade Gears - Wonder 3 (Japan)	Wonder 3 : Arcade Gears	1998	Compilation	Capcom	1-2
Arcade Hits - Crazy Climber (Japan)	Arcade Hits : Crazy Climber	2002	Action / Climbing/Action	Nichibutsu	1-2
Arcade Hits - Frisky Tom (Japan)	Arcade Hits : Frisky Tom	2002	Action / Labyrinth/Action	Nichibutsu	1-2
Arcade Hits - Magical Drop (Japan)	Magical Drop	1996	Puzzle / Throw/Puzzle	Data East	1-2
Arcade Hits - Moon Cresta (Japan)	Arcade Hits : Moon Cresta	2002	Shoot'em Up / Vertical/Shoot'em Up	Nichibutsu	1-2
Arcade Hits - Raiden (Japan)	The Raiden Project	1995	Shoot'em Up	Seibu Kaihatsu	1-2
Arcade Hits - Shienryuu (Japan)	Gekioh : Shooting King	2002	Shooter/Shoot'em Up / Vertical/Shoot'em Up	Warashi	1-2
Arcade Hits - Sonic Wings Special (Japan)	Sonic Wings Special	2004	Shooter/Shoot'em Up / Vertical/Shoot'em Up	Video System	1-2
Arcade Hits - Soukyuu Gurentai (Japan)	Soukyu Gurentai - Oubushustugeki	1997	Shoot'em Up	Raizing	1-2
Arcade Hits - Suiko Enbu - Outlaws of the Lost Dynasty (Japan)	Suiko Enbu	1996	Fighting	Invision Interactive	1-2
Arcade Hits - Wolf Fang - Kuuga 2001 (Japan)	Wolf Fang : Kuuga 2001	1996	Shooter	Tsuji Jimusho	1-2
Arcade Party Pak (USA)	Arcade Party Pak	1999	Compilation	Digital Eclipse	1-3
Arcade's Greatest Hits - The Atari Collection 1 (USA)	Arcade's Greatest Hits : The Atari Collection 1	1996	Compilation	Digital Eclipse	1-2
Arcade's Greatest Hits - The Atari Collection 2 (USA)	Arcade's Greatest Hits : The Atari Collection 2	1998	Compilation	Digital Eclipse	1-2
